Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.3354,38.8063,102062,LLNL,0.030524835,8,5300,17000,0.472169398,400,50,400,6.5,0.782358958,318.4313565,714.0328633,4.704550387,110000,196.0703688,0.79959457,9.2
-121.3354,38.8063,102062,LLNL,0.913309684,8.1,5300,17000,1.5,400,46,400,6,2.735287828,785.992154,494.8249166,4.103625263,1.00E+05,172.4659563,0.327327694,5.5
-121.3354,38.8063,102063,LLNL,0.388170272,3.7,3200,18000,0.155546974,560,32,440,4.3,4.395852239,129.0072836,367.3517494,1.427463198,86000,1800,0.077420238,5.8
-121.3354,38.8063,102063,LLNL,0.349633299,4.2,3600,15000,0.815493457,500,25,310,3.8,3.535575195,420.8746966,880.3648925,1.686190466,76000,436.0421611,0.203312958,5.5
-121.3354,38.8063,102063,LLNL,0.819606275,4.1,3600,14000,0.350419856,510,22,310,3.7,1.640973196,693.7471588,765.8652598,3.833447555,75000,1.516893506,0.198655597,4.9
-121.3354,38.8063,102064,LLNL,0.312307729,3.6,3600,14000,0.185508255,580,29,210,2.4,3.818064054,597.5525338,140.5121011,0.32320444,71000,200.2875403,0.530042448,4.2
-121.3354,38.8063,102064,LLNL,0.214791428,3.6,3600,13000,0.289607884,550,4.726995374,200,2.2,1.138457421,500.1060378,777.2085476,4.58137756,71000,403.7176806,0.925527832,3.6
-121.3354,38.8063,102065,LLNL,0.126414413,4.8,5700,18000,0.782952106,750,41,580,7.8,0.218427266,245.6410847,490.2280048,2.133549688,85000,470.6174154,0.028502403,7.4
-121.3354,38.8063,102065,LLNL,0.06405019,4.9,5500,17000,1.1,710,36,560,7.4,2.233893166,380.1302654,246.76651,3.171603235,83000,13.46334466,0.332568421,7
-121.3354,38.8063,102066,LLNL,2.2,12,8100,14000,0.491697307,610,18.97199228,1200,7.6,0.753230093,215.1390313,1300,1.598599538,74000,33000,2.07,1.905244053
-121.3354,38.8063,102066,LLNL,0.915715574,44,42000,2.00E+05,0.599491417,280,5.893854341,2600,21,2.893783533,296.933454,1800,0.724048368,110000,35000,0.197548096,0.072929466
-121.3354,38.8063,102066,LLNL,0.59277564,47,42000,2.00E+05,0.790792424,290,2.323734621,2600,21,0.408067174,372.6236307,2000,4.856416882,120000,36000,0.422159246,2.982911017
-121.3354,38.8063,102067,LLNL,0.259285208,96,56000,68000,0.517442618,360,21,9600,86,0.246026266,150.6605353,2000,3.598414154,62000,130000,0.826986857,2.138436728
-121.3354,38.8063,102067,LLNL,0.017455034,95,56000,68000,0.647845759,340,20,9800,87,4.537028349,839.4001725,2000,0.605190257,64000,130000,0.917208792,1.824914941
-121.3354,38.8063,102068,LLNL,2.6,100,3.00E+05,9.00E+05,0.27093975,280,260,66000,770,2.360875849,1323.197873,6800,2.160453624,280000,290000,0.838767401,2.738443945
-121.3354,38.8063,102068,LLNL,3.4,100,320000,870000,0.607695851,300,250,66000,800,3.668079943,138.2880976,8100,5.1,280000,320000,0.257880531,0.135551952
-121.3354,38.8063,102069,LLNL,0.935036265,9.5,16000,37000,0.47376244,320,18.27899988,5500,24,1.434540492,142.8862534,4000,3.841275012,120000,24000,0.638784021,2.176002898
-121.3354,38.8063,102069,LLNL,0.519586565,9.7,16000,37000,0.636404885,310,15.50340568,5500,24,2.729223489,904.2071381,4200,0.049476554,110000,24000,0.158121269,2.85878865
