Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb) ,Zn (ppb),Cr_level
36.68858333,-119.9165556,USGS,KINGFP-15,KINGFP-15,KINGFP-15,1.6,15.4,64.2,34600,79100,0.25,1.2,90,168,11100,21900,651,3.99,16.7,60,0.08,0.24,9220,312,0.9324,15.8,0.4,Group 0
36.27094444,-119.3112222,USGS,KWH-03,KWH-03,KWH-03,1,0.64,40.5,30800,6210,0.96,0.72,50,4,1120,1310,0.2,0.78,0.06,2650,0.19,0.09,13100,329,4.9432,6.1,0.94,Group 0
36.16258333,-119.3380278,USGS,KWH-11,KWH-11,KWH-11,217,4.4,4.63,1950,20200,0.3,0.8,1380,15.1,290,53,2.32,5.64,0.2,60,0.648,0.05,6650,27.9,0.051948,1.1,2,Group 0
36.16258333,-119.3380278,USGS,KWH-11,KWH-11,KWH-11,34.1,3.4,9.11,1790,18700,0.04,0.2,1100,91.7,300,40,4.4,4.64,0.14,40,0.042,0.08,7790,20.9,0.067932,0.55,1.1,Group 0
36.32505556,-119.3933889,USGS,KWH-14,KWH-14,KWH-14,1.2,0.62,54.5,33100,19700,0.65,1.2,60,6,1320,1330,0.2,0.219,0.48,2720,0.545,0.09,10500,410,5.328,6.5,1.2,Group 0
36.84488889,-119.8248056,USGS,MADCHOW-04,MADCHOW-04,MADCHOW-04,1.6,2.2,12.5,13600,3990,0.65,1,110,8,2860,5460,0.21,1.52,0.2,423,0.235,0.02,2730,108,1.6132,7,0.94,Group 0
37.10319444,-120.15175,USGS,MADCHOW-08,MADCHOW-08,MADCHOW-08,1,12.6,98.4,24100,33900,0.98,0.81,160,8,4520,6310,6.46,2.92,0.17,535,0.334,0.93,7780,237,2.6344,2.6,3.3,Group 0
37.13316667,-120.4881389,USGS,MADCHOW-12,MADCHOW-12,MADCHOW-12,1.1,20.3,868,64500,506000,0.12,1,120,85.7,2000,16100,420,1.93,0.23,40,0.08,0.09,880,632,0.0120028,0.33,1.4,Group 0
36.89780556,-119.8113889,USGS,MADCHOW-15,MADCHOW-15,MADCHOW-15,1.6,2.1,42.6,8410,9060,0.4,0.54,210,8,3210,3580,0.2,6.49,0.2,867,0.198,0.08,1910,112,0.1776,8.4,27.2,Group 0
37.08036111,-120.47475,USGS,MADCHOW-22,MADCHOW-22,MADCHOW-22,0.9,7.4,507,24200,25200,0.12,1,160,8,1810,3110,24.9,1.8,0.1,1550,0.08,0.34,4390,176,0.76664,27.1,4.7,Group 0
37.07361111,-120.5288889,USGS,MADCHOW-23,MADCHOW-23,MADCHOW-23,1.7,16.2,164,7170,22900,0.12,1,290,8,1530,1470,10,3.09,0.2,326,0.118,0.09,4700,68.5,0.59348,108,3.2,Group 0
37.01138889,-120.3361667,USGS,MADCHOW-24,MADCHOW-24,MADCHOW-24,1.2,1.9,58.9,34300,29100,0.72,1,120,4.8,2150,4500,0.59,2.13,0.19,2020,0.115,0.1,5750,252,2.812,23.9,15.4,Group 0
36.8185,-120.1735556,USGS,MADCHOW-27,MADCHOW-27,MADCHOW-27,2.1,6.3,236,35400,19400,0.53,1,160,4.8,2200,8670,0.11,2.09,0.29,1160,2.38,0.58,28500,302,12.1952,20.3,2.1,Group 0
37.14536111,-120.14825,USGS,MADCHOWFP-04,MADCHOWFP-04,MADCHOWFP-04,1.8,1.2,177,19700,23900,0.15,1,140,21.7,4060,4710,16.1,1.69,0.2,219,0.152,0.07,3490,166,0.26048,4.4,19.6,Group 0
37.12575,-120.0757778,USGS,MADCHOWFP-05,MADCHOWFP-05,MADCHOWFP-05,1.7,2.7,51.2,40000,15000,0.12,1,250,75.1,3200,8390,32,5.82,0.25,40,0.08,0.02,43500,313,0.02072,0.05,38,Group 0
37.23294444,-120.2573889,USGS,MER-11,MER-11,MER-11,5.8,13.5,150,26300,6120,0.3,0.3,140,16.6,3810,8730,34.8,4.09,0.2,952,0.098,0.06,19000,257,0.7252,4.3,2,Group 0
37.23294444,-120.2573889,USGS,MER-11,MER-11,MER-11,3.4,10.4,156,26800,6240,0.15,0.8,140,17.5,3520,9090,25.8,3.75,0.51,776,0.049,0.15,20800,250,0.60532,3.9,1.9,Group 0
37.23294444,-120.2573889,USGS,MER-11,MER-11,MER-11,1.6,13.1,186,25200,5860,0.14,1,180,29,3670,8760,21.9,4.46,1.35,485,0.04,0.05,20400,261,0.98272,3.3,1.7,Group 0
37.18522113,-120.3904603,USGS,MER-21,MER-21,MER-21,1.3,1.5,122,23300,9000,0.06,0.4,160,20.1,4020,5580,45.5,2.93,3.06,365,0.483,1.5,12900,238,0.42032,5.4,0.7,Group 0
37.17641667,-120.6266389,USGS,MERFP-01,MERFP-01,MERFP-01,1.6,9.8,98.9,81200,103000,0.04,0.7,230,189,1830,27800,443,6.67,5.43,60,0.047,0.08,108000,586,9.9604,3.3,1.8,Group 0
37.19744444,-120.1573889,USGS,MERFP-02,MERFP-02,MERFP-02,0.9,0.52,42.8,43100,13700,0.04,1.1,230,20.5,3530,12100,84.4,7.31,2.25,60,1.63,0.08,74300,373,0.03996,0.1,15.1,Group 0
37.62413889,-121.0861111,USGS,MODFP-01,MODFP-01,MODFP-01,6.4,17.2,2930,540000,3130000,0.26,2.6,100,1870,16100,251000,3940,6.62,47.5,60,0.32,1,1800,5700,0.09028,1.4,3.8,Group 0
37.62413889,-121.0861111,USGS,MODFP-02,MODFP-02,MODFP-02,1.7,9.1,181,47100,177000,0.18,0.6,90,12.6,5470,13600,216,16.7,4.02,4380,0.08,0.08,46100,564,4.5288,13.1,0.5,Group 0
37.62413889,-121.0861111,USGS,MODFP-03,MODFP-03,MODFP-03,1.2,8.8,37.2,37400,24500,0.95,0.7,130,4.7,1700,13000,0.12,1.44,3.07,13200,0.04,0.05,28100,482,1.406,39.1,0.4,Group 0
38.68577778,-121.5960556,USGS,NAM-01,NAM-01,NAM-01,1.7,21.1,226,30000,90500,0.8,0.5,70,149,2500,17000,145,4.62,1.38,60,0.042,1.2,65000,313,0.030932,3.1,1.2,Group 0
38.67825,-121.5942778,USGS,NAMFP-05,NAMFP-05,NAMFP-05,1.1,25.3,249,26500,268000,0.8,0.4,60,65.6,4920,8270,120,5.46,2.79,60,0.08,1.1,180,322,0.03996,0.1,0.7,Group 0
38.67825,-121.5944167,USGS,NAMFP-06,NAMFP-06,NAMFP-06,4.8,78.1,80.2,12400,119000,0.8,0.4,150,223,1390,3640,82.7,11.3,2.84,60,0.08,1,180,143,0.03996,0.4,1.4,Group 0
38.67825,-121.5944167,USGS,NAMFP-07,NAMFP-07,NAMFP-07,2.7,42.2,45,11300,74800,0.8,0.2,150,68.6,2030,4210,55.6,18.3,4.05,60,0.08,0.8,31500,117,0.025012,0.4,0.4,Group 0
38.67825,-121.5944167,USGS,NAMFP-08,NAMFP-08,NAMFP-08,4.8,16.9,284,34100,121000,0.8,0.4,120,254,2450,23800,254,5.02,2.22,60,0.08,0.9,47600,359,0.100936,0.4,2,Group 0
38.68677778,-121.5219444,USGS,NAMFP-09,NAMFP-09,NAMFP-09,1.5,25.3,173,19300,21700,0.8,0.3,90,293,2510,7160,146,3.41,1.59,60,0.08,0.3,180,218,0.02294,1,1,Group 0
38.68677778,-121.5219444,USGS,NAMFP-10,NAMFP-10,NAMFP-10,14.3,46.5,79,22900,25500,0.8,0.4,90,44.4,1640,10100,156,3.12,1.3,60,0.08,0.4,180,218,0.136012,2.5,0.8,Group 0
38.6585,-121.4664722,USGS,NAMFP-16:NAMDD-01,NAMFP-16:NAMDD-01,NAMFP-16:NAMDD-01,1.6,4.6,74.6,15700,14700,0.8,0.9,230,6,1650,11300,8.58,0.64,0.94,60,0.146,0.2,5490,172,0.29748,37.8,140,Group 0
38.6585,-121.4664722,USGS,NAMFP-16:NAMDD-02,NAMFP-16:NAMDD-02,NAMFP-16:NAMDD-02,1.7,4.2,70.5,15400,15200,0.8,0.7,250,6,1690,11100,3.65,0.659,0.74,60,0.111,0.3,5610,168,0.25456,38.5,136,Group 0
38.6585,-121.4664722,USGS,NAMFP-16:NAMDD-03,NAMFP-16:NAMDD-03,NAMFP-16:NAMDD-03,1.3,4.2,69.1,16100,15300,0.8,1.4,240,6,1720,10600,3.18,0.651,0.88,60,0.157,0.3,5590,173,0.16132,37.6,93,Group 0
39.98038889,-122.1705833,USGS,NSAC-05,NSAC-05,NSAC-05,3,4.1,22.1,27000,6240,0.61,1.2,140,8,1740,12500,0.2,1.44,0.2,1380,0.264,2.4,23700,292,0.8436,8.2,2.7,Group 0
40.12266667,-122.1954167,USGS,NSAC-06,NSAC-06,NSAC-06,1.6,0.43,61.5,28800,8110,0.61,0.53,270,8,580,15900,0.2,0.848,0.91,1760,0.172,0.16,17100,202,0.066008,4.4,2.1,Group 0
40.22252778,-122.2595556,USGS,NSAC-08,NSAC-08,NSAC-08,1.5,7.6,46.2,23000,5760,0.12,1,100,8,1730,4810,40.2,0.954,0.2,40,0.328,0.24,4660,261,0.74148,1.4,1.6,Group 0
40.18558333,-122.1886944,USGS,NSAC-11,NSAC-11,NSAC-11,4.8,0.47,33.2,20500,51800,0.59,4.3,120,8,1630,15400,0.12,0.129,0.78,2480,3.73,0.1,11400,171,0.099012,4.6,3.9,Group 0
40.08116667,-122.0965556,USGS,NSAC-15,NSAC-15,NSAC-15,1.6,1.2,29.1,17400,17000,0.62,1.6,120,26.2,2450,12800,0.98,0.123,1,829,0.185,0.03,14900,124,0.063048,6.3,72.9,Group 0
39.92163889,-122.4473056,USGS,NSAC-17,NSAC-17,NSAC-17,1.6,3.4,154,12400,139000,0.12,8.3,110,31.8,540,6790,29.7,4.92,1.2,40,0.918,0.02,180,185,0.02072,0.14,9.7,Group 0
39.94558333,-122.0399444,USGS,NSAC-MW-02,NSAC-MW-02,NSAC-MW-02,0.8,1.1,18.1,23300,5000,0.5,1,80,252,3350,17600,37.1,1.04,0.84,958,0.08,0.03,5300,136,0.592,9.5,1.8,Group 0
39.94558333,-122.0399444,USGS,NSAC-MW-03,NSAC-MW-03,NSAC-MW-03,5,4.5,3.01,3010,3150,0.6,1,190,184,3410,2200,23.6,1.79,2.2,543,0.08,0.35,2650,18.1,0.085988,18.7,1.8,Group 0
40.04283333,-122.1665278,USGS,NSAC-MW-05,NSAC-MW-05,NSAC-MW-05,7.1,10.6,12.8,8200,7270,0.12,1,210,8,2540,739,8.52,3.22,0.15,40,0.08,0.04,12000,43.4,0.015984,0.41,1.8,Group 0
40.04283333,-122.1665278,USGS,NSAC-MW-06,NSAC-MW-06,NSAC-MW-06,15.9,19.8,1.71,3060,11600,0.12,1,310,4.9,1510,185,3.67,6.27,0.12,40,0.08,0.04,13800,5.92,0.02072,0.15,1.8,Group 0
