Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1887     11                1.9               37.6  
1887     12               -1.6              107.2  
1888      1               -3.4               27.8  
1888      2               -1.5               29.2  
1888      3                2.4              102.6  
1888      4                5.8              107.5  
1888      5               13.5               56.8  
1888      6               15.9              158.9  
1888      7               15.0              238.8  
1888      8               15.4              143.2  
1888      9               13.4              210.2  
1888     10                5.4               95.1  
1888     11                3.9               47.7  
1888     12               -1.5               26.4  
1889      1               -2.8               19.2  
1889      2               -1.9               76.9  
1889      3                0.9               50.2  
1889      4                6.6               54.6  
1889      5               13.8               80.9  
1889      6               16.9              150.9  
1889      7               16.8              117.4  
1889      8               15.6              112.1  
1889      9               11.7               90.8  
1889     10                7.5              128.0  
1889     11                2.6               57.0  
1889     12               -2.6               36.4  
1890      1                0.4               89.3  
1890      2               -3.8                3.3  
1890      3                3.5               25.0  
1890      4                7.1               89.0  
1890      5               13.5              123.7  
1890      6               14.5              108.6  
1890      7               15.6               82.9  
1890      8               16.0              204.7  
1890      9               12.3               29.4  
1890     10                5.9              120.7  
1890     11                2.8               50.7  
1890     12               -5.8                8.5  
1891      1               -6.1               30.3  
1891      2               -3.0               10.4  
1891      3                2.9               80.6  
1891      4                5.5               80.5  
1891      5               11.8               96.1  
1891      6               15.6              125.2  
1891      7               15.9              256.1  
1891      8               15.4              159.0  
1891      9               13.6               91.3  
1891     10                8.9               61.5  
1891     11                2.2               69.6  
1891     12                0.8              132.9  
1892      1               -1.9               68.6  
1892      2                1.1               64.3  
1892      3                0.6               39.5  
1892      4                7.8               78.4  
1892      5               12.6               27.0  
1892      6               15.8              119.6  
1892      7               17.0              134.0  
1892      8               18.3               74.8  
1892      9               13.9              169.8  
1892     10                7.7              156.6  
1892     11                5.1               46.5  
1892     12               -2.1               28.3  
1893      1               -6.6               44.2  
1893      2                1.6               59.2  
1893      3                5.1               28.4  
1893      4               11.4                0.0  
1893      5               12.2              112.7  
1893      6               15.8               92.8  
1893      7               17.3              137.7  
1893      8               18.0               19.6  
1893      9               13.7              105.6  
1893     10                9.4               74.6  
1893     11                2.2              107.2  
1893     12               -1.2               19.6  
1894      1               -2.8               29.5  
1894      2                0.6               39.7  
1894      3                4.6               31.3  
1894      4               10.2               62.2  
1894      5               11.2              111.7  
1894      6               14.9               60.1  
1894      7               17.8              176.7  
1894      8               16.1              128.3  
1894      9               11.8              129.2  
1894     10                8.6              121.1  
1894     11                3.8               23.2  
1894     12               -1.1               61.3  
1895      1               -5.2               49.7  
1895      2               -7.7               18.2  
1895      3                1.6               83.9  
1895      4                9.0               74.1  
1895      5               11.8               97.4  
1895      6               15.6               85.4  
1895      7               18.1               50.7  
1895      8               16.9              106.1  
1895      9               16.6               13.0  
1895     10                7.4              110.0  
1895     11                5.9               88.0  
1895     12                1.3              104.3  
1896      1               -2.2               21.7  
