DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
,,,97,98,-2,5
,,,98,99,-2,5
,,,99,100,-2,5
,,,100,101,-2,5
,,,101,102,-2,5
,,,102,103,-2,5
,,,103,104,-2,5
,,,104,105,-2,3
,,,105,106,-2,5
,,,106,107,-2,5
,,,107,108,-2,5
,,,108,109,-2,5
,,,109,110,-2,5
,,,110,111,-2,5
,,,111,112,-2,5
,,,112,113,-2,5
,,,113,114,-2,5
,,,114,115,-2,5
,,,115,116,-2,5
,,,116,117,-2,5
,,,117,118,-2,5
,,,118,119,-2,5
,,,119,120,-2,5
,,,120,121,-2,5
,,,121,122,-2,5
,,,122,123,-2,5
,,,123,124,-2,5
,,,124,125,-2,5
87. 1355,546838,6217994,no data,,-999,-9999
87. 1356,546833,6217997,no data,,-999,-9999
87. 1357,546828,6218001,no data,,-999,-9999
87. 1358,546824,6217997,no data,,-999,-9999
87. 1359,546819,6217993,no data,,-999,-9999
87. 136,546823,6217993,no data,,-999,-9999
87. 1361,546826,6217992,no data,,-999,-9999
87. 1362,546834,6217996,no data,,-999,-9999
87. 1423,546693,6222924,don't understand,,-999,-9999
87. 1517,547740,6219155,no data,,-999,-9999
87. 269,547089,6221425,0,7,1,5
,,,7,31.4,-2,3
,,,31.4,33.2,-2,5
,,,33.2,57,-2,3
,,,57,71,-2,3
,,,71,75,-1,3
87. 298,547360,6218778,0,3.5,-2,5
,,,3.5,10,-2,-9999
,,,10,40,-1,3
,,,40,42,1,3
87. 510,547483,6221503,0,11,2,4
,,,11,33.7,-1,1
,,,33.7,37,-2,5
,,,37,42.4,-2,-9999
,,,42.4,54.3,-2,-9999
,,,54.3,59,-2,-9999
,,,59,60,-2,-9999
87. 66,547789,6221973,0,5,2,5
,,,5,22,-2,5
,,,22,34,-999,3
,,,34,45,-999,3
,,,45,74,-2,3
87. 692,547195,6221170,0,24,-999,3
,,,24,25,-999,5
,,,24,42,-999,3
,,,42,43,2,5
,,,43,46,-2,5
,,,46,46.5,-999,-9999
,,,46.5,49,-999,-9999
,,,19,58,-999,3
,,,58,60,-999,5
,,,60,66,-999,3
,,,66,76.5,-999,5
,,,76.5,85,-999,3
,,,85,,-999,5
87. 862,547636,6218964,0,0.3,-999,8
,,,0.3,6,2,5
,,,6,38,2,3
,,,38,39.5,1,3
,,,39.5,41,2,3
,,,41,43,-2,4
,,,43,44,1,3
,,,44,45.5,-2,5
,,,45.5,48,2,5
,,,48,53.5,-1,3
,,,53.5,56.5,-1,3
,,,56.5,57.5,-2,3
,,,57.5,68,-2,5
,,,68,68.5,1,3
,,,68.5,71,-2,4
,,,71,72,-2,3
,,,72,79,1,3
,,,79,81,1,3
88. 1006,550215,6218452,0,3,-999,-9999
,,,3,9.5,-2,3
,,,9.5,,-2,5
88. 1007,549660,6217899,0,0.5,2,8
,,,0.5,7,-1,3
,,,7,8,1,4
,,,8,15.5,-2,3
88. 1041,550247,6218470,0,5.2,2,3
,,,5.2,11.1,2,3
,,,11.1,14.6,-999,3
,,,14.6,19.4,1,3
,,,19.4,25,1,3
,,,25,31,-999,3
,,,31,34.7,1,3
,,,34.7,37,1,3
,,,37,40.2,-2,4
