x,y,Au,Ag,As,Ba,Be,Bi,Cd,Co,Cr,Cu,Mn,Nb,Ni,P,Pb,Rb,Sb,Sn,Ti,V,W,Zn,Zr,Si,Al,Fe,Mg,Ca,Na,K
13.437,12.697,0.7696,0.05236,7.4036,556.3,2.0384,0.19233,0.049925,6.1856,26.7,10.938,344.6,10.85,14.879,388.9,16.862,103.5,0.56608,2.12,2644.7,45.5,1.0787,32.758,311.4,6.738e+05,1.138e+05,25900,8400,12000,22800,28400
18.356,8.6019,0.42383,0.05404,6.3056,559.7,2.0961,0.20692,0.07439,6.5478,42.2,12.364,417.3,15,13.713,515.2,17.164,103.5,0.55636,4.57,3684.8,57.1,1.1615,39.039,639.2,6.773e+05,1.295e+05,30300,9600,14000,22000,29900
24.363,4.6769,1.557,0.067682,8.3108,491.1,1.9008,0.2142,0.10095,7.8221,37.7,13.02,385.1,10.19,17.23,435,18.018,80.1,0.80157,1.98,2743.4,54,1.394,41.789,288.1,4.714e+05,96700,26800,40600,1.131e+05,21300,20800
38.682,27.534,2.3128,0.073738,13.231,499,1.9483,0.26127,0.10079,9.4612,50.8,19.396,496.5,11.686,22.631,408.3,19.546,83,0.7958,2.49,3184.8,83.8,1.5993,51.396,295.4,4.664e+05,1.086e+05,35700,37900,1.205e+05,30600,19800
30.822,34.543,1.1755,0.13053,13.563,603.4,2.6716,0.37444,0.14524,12.705,73.33,26.393,687.7,15.168,28.589,668.4,24.833,109.1,1.0179,2.858,4213.9,83.619,1.865,76.184,274.8,6.017e+05,1.356e+05,48500,18300,35700,17200,26000
38.645,13.143,1.743,0.10841,11.755,539.9,2.123,0.28592,0.085519,7.8066,49.8,12.305,428.6,12.398,22.133,488.3,21.443,103.8,0.78775,2.73,3672.3,73.6,1.5957,51.323,319.7,6.347e+05,1.368e+05,42700,12900,15500,15800,25300
10.623,5.0781,0.6311,0.05532,5.8776,552.4,2.4689,0.1963,0.057505,5.5408,35.5,11.033,402,12.87,10.484,537.5,17.423,106.7,0.53395,1.681,3225.1,48.4,1.0531,34.969,525.9,6.669e+05,1.272e+05,26500,9500,13600,23500,30000
20.2,23.997,0.6721,0.11788,6.3056,599,2.3144,0.51765,0.15352,10.525,54.1,19.446,721.5,15.69,20.391,773.4,27.222,109.5,1.2728,2.67,4188.6,71.6,2.054,71.601,478.2,6.234e+05,1.334e+05,44400,14000,17900,17200,27900
21.29,20.579,0.7644,0.090144,7.4036,560.4,2.1983,0.3171,0.10537,7.4481,40,13.125,456.3,13.4,15.771,676.4,22.675,108,0.7981,2.05,3582,61.6,1.449,49.418,415.1,6.39e+05,1.312e+05,33600,12300,18700,19900,29600
6.7464,8.7234,0.4108,0.065299,6.9596,565.5,2.172,0.24675,0.10193,5.5496,38.8,11.351,380.4,11.2,13.56,633.2,19.045,106,0.649,2.13,3317.7,57.6,1.138,43.239,401.1,6.459e+05,1.322e+05,31100,10800,16100,22900,28900
37.595,17.732,0.862,0.071688,7.4036,592.7,2.2671,0.26165,0.070367,8.9884,46.3,15.745,540.8,13.062,18.836,589.9,21.956,110.2,0.7843,2.04,3647.6,66.8,1.4528,51.91,352.1,6.403e+05,1.34e+05,38200,13600,15200,18100,28300
