x,y,z,redox
548751.0,6220558.0,92.0,1.0
548751.0,6220558.0,93.0,1.0
548751.0,6220558.0,81.0,0.0
548751.0,6220558.0,82.0,0.0
548751.0,6220558.0,83.0,0.0
548751.0,6220558.0,84.0,0.0
548751.0,6220558.0,85.0,0.0
548751.0,6220558.0,86.0,0.0
548751.0,6220558.0,87.0,0.0
548751.0,6220558.0,88.0,0.0
548751.0,6220558.0,89.0,0.0
548751.0,6220558.0,49.0,2.0
548751.0,6220558.0,50.0,2.0
548751.0,6220558.0,51.0,2.0
548751.0,6220558.0,52.0,2.0
548751.0,6220558.0,53.0,2.0
548751.0,6220558.0,54.0,2.0
548751.0,6220558.0,55.0,2.0
548751.0,6220558.0,56.0,2.0
548751.0,6220558.0,57.0,2.0
548751.0,6220558.0,58.0,2.0
548751.0,6220558.0,59.0,2.0
548751.0,6220558.0,60.0,2.0
548751.0,6220558.0,61.0,2.0
548751.0,6220558.0,62.0,2.0
548751.0,6220558.0,63.0,2.0
548751.0,6220558.0,64.0,2.0
548751.0,6220558.0,65.0,2.0
548751.0,6220558.0,66.0,2.0
548751.0,6220558.0,67.0,2.0
548751.0,6220558.0,68.0,2.0
548751.0,6220558.0,69.0,2.0
548751.0,6220558.0,70.0,2.0
548751.0,6220558.0,71.0,2.0
548751.0,6220558.0,72.0,2.0
548751.0,6220558.0,73.0,2.0
548751.0,6220558.0,74.0,2.0
548751.0,6220558.0,75.0,2.0
548751.0,6220558.0,76.0,2.0
548751.0,6220558.0,77.0,2.0
548751.0,6220558.0,78.0,2.0
548751.0,6220558.0,79.0,2.0
548751.0,6220558.0,80.0,2.0
548751.0,6220558.0,81.0,2.0
548751.0,6220558.0,45.0,0.0
548751.0,6220558.0,46.0,0.0
548751.0,6220558.0,47.0,0.0
548751.0,6220558.0,48.0,0.0
548751.0,6220558.0,49.0,0.0
548751.0,6220558.0,36.0,1.0
548751.0,6220558.0,37.0,1.0
548751.0,6220558.0,38.0,1.0
548751.0,6220558.0,39.0,1.0
548751.0,6220558.0,40.0,1.0
548751.0,6220558.0,41.0,1.0
